Model_Name,Accuracy,Balanced_Accuracy,AUC,Classification_Error,Sensitivity,Specificity,Precision,TP,TN,FP,FN,Best_LVs
Fold_1,0.9736842105263158,0.9736842105263157,0.9833795013850416,0.02631578947368418,1.0,0.9473684210526315,0.95,19,18,1,0,2
Fold_2,0.9736842105263158,0.9736842105263157,0.997229916897507,0.02631578947368418,1.0,0.9473684210526315,0.95,19,18,1,0,3
Fold_3,1.0,1.0,1.0,0.0,1.0,1.0,1.0,18,19,0,0,1
Fold_4,1.0,1.0,1.0,0.0,1.0,1.0,1.0,18,19,0,0,1
Fold_5,0.972972972972973,0.9722222222222222,0.9883040935672515,0.027027027027026973,1.0,0.9444444444444444,0.95,19,17,1,0,2
