Fold,Real_Accuracy,P_Value,N_Permutations
Fold_1,0.953103448275862,0.009900990099009901,100
Fold_2,0.9264367816091953,0.009900990099009901,100
Fold_3,0.9133333333333333,0.009900990099009901,100
Fold_4,0.8866666666666667,0.009900990099009901,100
Fold_5,0.9066666666666666,0.009900990099009901,100
