Model_Name,Accuracy,Balanced_Accuracy,AUC,Classification_Error,Sensitivity,Specificity,Precision,TP,TN,FP,FN,Optimized_LVs
PLSDA_Fold_1,0.9736842105263158,0.9736842105263157,0.9778393351800555,0.02631578947368418,1.0,0.9473684210526315,0.95,19,18,1,0,6
PLSDA_Fold_2,0.9473684210526315,0.9473684210526316,0.9861495844875346,0.052631578947368474,0.8947368421052632,1.0,1.0,17,19,0,2,2
PLSDA_Fold_3,1.0,1.0,1.0,0.0,1.0,1.0,1.0,18,19,0,0,7
PLSDA_Fold_4,1.0,1.0,1.0,0.0,1.0,1.0,1.0,18,19,0,0,9
PLSDA_Fold_5,1.0,1.0,1.0,0.0,1.0,1.0,1.0,19,18,0,0,8
