,Class,"1,7-Dimethyluric acid",16alpha-hydroxydehydroepiandrosterone 3-sulfate,"3a,7a-Dihydroxycholanoic acid","3beta,7alpha-Dihydroxy-5-cholestenoate",3-Hydroxyvaleric acid,3-Indoxyl sulphate,3-oxopalmitic acid,4-Hydroxybutyric acid (GHB),5a-Dihydrotestosterone sulfate,5-Hydroxy-DL-tryptophan,5-hydroxyisouric acid,Ac-Ala-OH,Aminoadipic acid,Androsterone sulfate,Arachidonic acid,Aspartylglucosamine,Bilirubin,Caproylglycine,Cortisone,D-(+)-Glucose,D(+)-Phenyllactic acid,Deoxycholic Acid,Deoxyguanosine diphosphate (dGDP),dl-3-Indolelactic acid,DL-Lactic Acid,DL-Tryptophan,D-Tyrosine,Glycochenodeoxycholic acid,Glycocholic acid,Gly-His,Hypoxanthin,Isocitric acid,L-(-)-Threonine,L-(+)-Alanine,Linoleamide,L-Phenylalanine,Malondialdehyde,Myristoleic acid,N-2-Acetyl-L-ornithine,N-Phenylacetylglutamine,Oleic Acid,Palmitic Acid,Palmitoleic acid,palmitoleoyl ethanolamide,Pseudouridine,Taurochenodeoxycholic Acid,Taurohyocholic acid,Testosterone sulfate,tyr-thr,Uric Acid,Urocanic acid,β-Estradiol
CTRL76 (F327),CTRL,485247.272984341,2145455.61797553,1318406.27504196,657118.229837439,668712.89790941,9334100.86882444,1252258.45131594,4690078.82519009,8606189.13173703,556986.260534696,713474.833246601,989842.266589932,435277.785534596,2134252.28300865,13072404.5087943,412485.663725123,389216.430823133,2133938.06780456,440836.985252331,33067079.5994529,406293.504283423,574605.770212385,215659.518347032,3495356.88067467,145419834.795365,56046118.6142708,22731920.0338985,1824474.49371563,1033331.96497347,508402.915318838,1076462.55226781,102406334.524837,9002858.27741872,4007863.90628164,890655.784857511,16203105.2210216,5551015.3759978,2179759.03313724,238720.181128829,2299953.17520288,48701654.2914908,77354557.2520258,11598273.2813533,1319461.09529334,1981621.55382256,826547.140112916,122979.869540764,18806696.5623156,129712.891927727,34662793.643104,1100020.87573171,208981.305349483
CTRL77 (F328),CTRL,375371.182749173,3049904.281739,2418119.37728374,979836.251015697,1431831.84787022,13403968.6700855,1136528.53526198,7060397.26952676,8584277.89451604,517054.186780159,920823.454075124,1108046.58789044,512634.054962883,1644910.80406392,8963174.01184375,299989.301295237,542553.164109932,1911267.00711139,837184.882586055,33457538.1611837,512697.328083903,1077945.51135597,312323.542045088,2303221.93626666,132558632.018679,50613241.5303686,24734813.0514862,4142025.15508561,1667961.54391409,717459.003541142,669495.632269378,138526432.121543,7312144.85160036,3536813.13999187,488715.768285521,13975513.6605901,6046752.60990226,3762085.37198588,139770.011527816,5306523.67405919,62996306.9966199,83142356.5583345,24419336.2374527,1124746.35241367,2098940.76326999,772732.793225619,196256.613655315,5952056.0524071,80490.7558757194,62229101.744112,446706.129357106,172040.619833726
CTRL78 (F329),CTRL,176223.681485943,3992125.54454121,2530793.38731125,834474.831009854,862298.949249646,13921045.0878523,1586828.49238515,9368912.25809016,4200825.12167625,526882.54899439,724871.689157699,952590.800640877,532516.771577804,921055.697507114,14077110.746614,551506.586681861,1349988.17668017,1671577.85869323,815558.722485591,54012913.3530281,425994.241328118,2221234.36106212,312460.303988881,3389835.48889587,226130011.535936,40195233.6658568,29175064.7363872,5875281.24164606,4390530.48200316,554683.228539618,1790953.78592231,131698388.696023,7247998.04920033,4302194.56004472,848277.318519865,13317714.3377837,9003006.00183151,2615966.85406308,119780.936617289,3424281.45553971,95488985.9235374,96401199.1038954,22248736.619902,1830662.18008725,2177304.18932266,1623313.21973259,55419.4727966831,9645581.98049134,125025.444036433,33568197.6475419,847999.79164673,295206.241491767
CTRL79 (F330),CTRL,579710.470934505,2223368.72634774,2705711.38917289,506109.086781658,769257.66804022,19529365.0387871,1468187.77159043,18341850.500784,3444593.17963706,581558.939522816,746444.515168645,1055116.45264207,355192.319252013,959482.606435041,17011617.4241018,459526.740653283,788996.088948183,1199718.65096485,572398.643411821,47533686.4456608,537321.118278285,470883.043932098,988177.926341633,3080320.82141809,125253977.871573,63119933.6731769,28576482.4632962,3042428.87688237,2796724.51031155,877804.112748711,242599.7700291,121240854.720283,7734656.26160391,4597278.36632526,41408.0614148614,15157001.0779909,7507691.63938067,12092285.320568,173518.801418387,3447801.83935335,120538470.956297,119298478.752982,67864971.1160706,21026.5615689037,1717193.50316519,950960.707702076,54207.1193450919,8784733.90808445,204036.521289608,36150620.5608431,499387.577685024,97891.3759338582
CTRL80 (F331),CTRL,849221.970550086,5316866.66939357,1177071.8280311,1126593.54646014,641828.598680104,17791415.9404674,2480638.93438907,11182621.4576786,1602396.75888785,662188.1808733,823310.220349128,1020156.40012687,439674.216938391,522387.04873256,19103855.0929935,443209.06824593,702424.27509851,1990419.5740112,776691.540067642,45756323.5508446,549729.217141262,3012127.84960421,962817.566465779,3559264.10619685,121350562.737804,63156433.8569871,31262560.1513648,2242823.81005807,1216737.77979985,1215495.36043492,360867.643494094,141351012.634687,9358617.58948442,3983592.19781741,44684.9948720841,15063711.3911073,7199484.22730368,11284798.0016187,374731.108220226,3360691.07689167,132628376.381492,126667641.585787,67687001.2221268,18324.2939957504,2039437.6566487,438036.942402152,320152.596687432,10477137.8509644,147849.547673317,39632541.0244142,378699.375765066,144331.418813394
CTRL81 (F332),CTRL,704174.178226556,6000273.97165434,1544589.01653964,982366.249012738,765823.701550472,7374049.66497546,1940851.00810081,7588493.08406209,1767039.00192143,347989.600270529,653697.23056583,814065.949445272,381496.795789054,520776.883606584,10563484.5056944,480209.017305096,501107.787499316,2389065.94409654,378050.396834606,47612805.7048376,466432.178058595,1218142.77416862,92118.5277709166,2092286.23095548,154377317.45652,52404227.2940132,19465754.6136601,10681839.9345178,5778637.49349308,690740.493100194,381254.9928152,83268551.2159348,8041566.37939909,3453713.42359151,498039.51368827,11861215.705146,7792645.47095512,2260800.90627835,185696.059268917,1139748.45098172,66370412.6327696,100540935.670231,15921110.8613033,862201.935408831,1242920.11781491,1624158.07411045,434832.022721192,13622052.8756234,156159.611612529,33011558.0751074,1192330.98354606,112990.690371119
CTRL82 (F333),CTRL,601469.180053317,5914008.93416999,2355722.93482211,751683.752161221,635176.984796405,27413.3108942932,2020490.1879212,9627210.6727316,496412.05671059,339248.890625282,659247.523382978,1135249.3716411,546417.136152837,179079.109484948,14449835.8669102,372633.417764221,334355.820682657,1621939.84213732,653100.732013803,42706674.9899693,532311.573939081,95918.9622826237,339578.831690594,2183165.29766932,145783231.529099,57153484.3932225,27761854.7189513,3493801.94793207,1134136.05386983,566637.463789118,511597.716943212,108809983.099144,11060196.185392,5013925.25096142,754353.011197184,11382440.2680955,6771968.9516511,8563537.02035111,456774.830145703,466673.812180335,118069477.899326,117679320.671328,47583979.9758305,1484256.33382701,2184915.61195533,1857598.1369132,174180.394326674,6093912.83329524,115163.658052286,35857908.3886076,1689654.72103817,261935.392594677
CTRL83 (F334),CTRL,12634.9048667321,2347920.08847668,1336074.85735814,440264.934754287,516833.408569244,4643564.39927619,2592517.12760863,8221475.37275074,1508037.67870909,584617.55587378,504197.295290003,706860.044688363,345693.110810982,385952.885050675,12279492.826509,356971.842293756,477187.817835478,2205390.42187558,470421.861553243,37701618.1392138,371697.444767059,1804409.508862,84196.9249925066,2384199.55357757,120679235.532766,64233347.3491078,32687868.6309777,7328252.69535179,9279455.28798509,590566.039498092,1689807.43956483,119178335.133396,8422779.49623656,3862907.14885645,805936.944244278,16001647.4456033,6582654.32425275,7100388.76808588,127778.828023128,1024969.32405161,87550052.4991855,103984812.178629,41200256.1183278,560519.090178868,1559922.10205424,972571.022396682,300335.115495327,6769409.30439187,235857.072972657,24890561.6905172,896387.966005131,116922.001155803
CTRL84 (F335),CTRL,508061.777903627,3672565.38449436,2195815.28944176,1035688.38809594,1450128.93674471,7905666.93434479,2974193.80450747,22454502.5622711,16019172.8055393,314042.240218763,896552.33643584,1060906.41889812,523635.601815761,1870192.82357238,18501526.7671147,589266.307735812,391773.141961275,630795.042342672,1233687.51635993,82956201.8417433,1032433.04394751,1772742.05657629,174384.63990184,2008009.51745068,272045062.378999,46774168.2122286,33533947.6689113,1312958.78809462,401643.349478846,1022267.3723738,1292093.01894245,141256773.920143,5505135.11652314,4154121.06790221,6224411.20851554,14288337.4910594,11791961.7041955,7857102.83982332,108658.593800386,1598358.16771795,113621396.942732,111423432.526055,66490207.0961798,1296552.64057153,1705057.74546661,137899.963580447,51741.8603719488,20320670.9834811,81376.5037872317,43041492.7139843,709069.466322254,314962.880793901
CTRL85 (F336),CTRL,46351.8182197005,2817694.60971845,1945395.28398264,439019.667378604,604767.665068258,3922625.56589461,2738354.04489561,8704441.0437522,1495263.33455618,657466.688039735,420585.969999097,630863.344001817,285047.905047983,578388.089896473,13111815.4447919,428076.564873065,303329.753265176,1996704.19304666,332897.210399446,43871300.8958662,1012147.6180476,797581.85350045,445479.061705157,1562518.27190926,165818402.57374,64067620.9207627,35455168.1538626,6646138.13994603,6117325.21447151,440605.241093763,1123547.72031988,111800320.675324,10749780.4686103,4370287.43468431,1055869.04512573,17826178.8335229,7429037.65734946,12585175.8226889,198624.08718407,2208799.63471627,117208390.636914,116148164.889286,42883756.9523639,2497514.21197235,1285236.59949573,2178668.41352025,242844.774681999,15051332.2492329,352346.228074749,22240088.1781296,779002.366274923,120394.831343598
