,Class,"1,7-Dimethyluric acid",16alpha-hydroxydehydroepiandrosterone 3-sulfate,"3a,7a-Dihydroxycholanoic acid","3beta,7alpha-Dihydroxy-5-cholestenoate",3-Hydroxyvaleric acid,3-Indoxyl sulphate,3-oxopalmitic acid,4-Hydroxybutyric acid (GHB),5a-Dihydrotestosterone sulfate,5-Hydroxy-DL-tryptophan,5-hydroxyisouric acid,Ac-Ala-OH,Aminoadipic acid,Androsterone sulfate,Arachidonic acid,Aspartylglucosamine,Bilirubin,Caproylglycine,Cortisone,D-(+)-Glucose,D(+)-Phenyllactic acid,Deoxycholic Acid,Deoxyguanosine diphosphate (dGDP),dl-3-Indolelactic acid,DL-Lactic Acid,DL-Tryptophan,D-Tyrosine,Glycochenodeoxycholic acid,Glycocholic acid,Gly-His,Hypoxanthin,Isocitric acid,L-(-)-Threonine,L-(+)-Alanine,Linoleamide,L-Phenylalanine,Malondialdehyde,Myristoleic acid,N-2-Acetyl-L-ornithine,N-Phenylacetylglutamine,Oleic Acid,Palmitic Acid,Palmitoleic acid,palmitoleoyl ethanolamide,Pseudouridine,Taurochenodeoxycholic Acid,Taurohyocholic acid,Testosterone sulfate,tyr-thr,Uric Acid,Urocanic acid,β-Estradiol
CTRL86 (F337),CTRL,398952.887103207,1355119.14673616,1704325.71522954,614873.945332163,670305.702960286,5233847.44939421,1303811.45799025,10201065.7091519,5159217.6915986,627046.592818687,420512.048978136,774035.137739779,285908.381967688,1047045.41465057,25821876.4465854,404638.083429775,525726.546558852,1865708.05073049,462536.622903574,36775361.5325496,397414.207346904,2027877.88337454,108700.813903428,2228825.09369968,123896829.454704,61002576.6412453,30348331.0227843,3207083.33606686,2572543.54701133,347378.461634229,179084.958004139,120931119.617851,11300413.8005541,4794006.18260129,628256.984476877,13661212.0711323,6318745.38380039,23437239.7750905,82740.9221603861,2424288.23403895,123503207.180818,114614756.742009,117065080.093142,677080.282486321,1168848.91700053,360515.204706816,97170.4959130551,14101103.5608198,109250.164685608,23228722.1262557,381062.077145176,195648.138642455
CTRL87 (F338),CTRL,454080.022130207,2391022.7000996,1697187.92906083,467355.388401889,890684.118331125,6805446.02651343,1656057.91096209,15465579.2014521,972686.341466034,379616.138539488,536442.762104864,1024627.57049551,509179.677786103,275761.568995668,23955017.3728008,453123.179370809,265183.390439333,1846144.50300837,296867.836347193,44867108.8100876,985655.594353856,122649.697458549,322843.191391822,2162847.39536553,186469136.38027,42840383.4863796,17702390.0631134,1550011.35371403,1215051.28451794,400579.885746236,2206358.31921265,132933365.949021,5772558.8915431,3760950.01369427,546767.89308523,11811792.9280576,6900898.2267681,24721622.3904638,164408.655219692,2956634.93836513,118170151.962062,110886291.080759,162848122.366449,1114476.72376476,1922988.19436422,569345.112925844,233906.045642903,5095450.93873352,197192.039948609,30345338.939078,1509757.37720753,135379.806663725
CTRL88 (F339),CTRL,175002.185413166,5444405.16818905,2006521.83012318,686432.996315965,798018.153040843,7913240.23176115,1442591.2761112,7960845.82974657,2623670.31841105,413164.148232497,457254.028498494,644791.001747135,215906.488190929,973718.994367558,15996230.7001909,418870.191768585,345130.179680468,2171187.08627211,415489.265502874,42345971.7892918,535449.375995363,354654.050032489,647649.27350875,2110015.47170627,184447345.253824,42311288.1644112,14049355.3144055,3716916.67290967,611148.908480033,696112.136845493,609741.191173549,121719489.75761,7102823.51073405,3674885.65806466,656115.032260409,9424645.98567204,6432260.44686614,3337509.52391567,150451.115689995,1698523.3559013,112523761.12758,113325076.600666,35565951.8638084,1151519.86507685,1277143.30669278,346084.725425066,90653.1483065172,21161278.9412703,56453.0925811012,23922600.9271171,382856.154935249,106495.90137927
CTRL89 (F340),CTRL,646793.05436787,2332518.55832315,2565659.57220067,522937.096460137,746892.451398929,12525816.8526086,1502929.71432538,9443655.70339848,7517469.62298669,663999.59920656,633134.863706298,854465.56930273,367434.545492873,1339638.24158401,12920861.7547223,340778.999003717,408102.937059077,2087122.13732883,715423.206378416,37462009.143224,665322.763585775,767165.133742299,91941.0395962054,3507241.38488584,134753779.295409,53884024.9507315,23750708.9883623,2664031.9697726,1954531.69469065,555024.04764613,1429732.23896586,103434886.152688,10277492.2678572,3596521.98874825,807001.44191505,14030201.7338721,6116040.61580005,3051384.3766831,219063.782402821,7690614.55279935,79656594.1966043,103416925.339006,22016267.3106432,1121253.10518875,1646110.36261449,1417042.48866089,498531.895476196,12456130.9913555,150000.795047631,31889484.6390047,572506.127724368,276994.851736107
CTRL90 (F341),CTRL,352292.086877811,4413861.22563842,3209451.11629947,715692.949259945,1032121.94384409,9039967.36129287,1453974.25895848,19209356.7986966,522609.150044486,541511.407213794,647825.786791723,1003336.38898198,444494.687125496,245269.098992692,22861878.7637506,591668.953110121,591156.053180092,1973107.96170153,606286.461148252,55146039.8119913,483341.406298162,697746.784777987,508040.183492205,2583130.15448351,225710182.125182,55787540.6012345,22153106.2925716,4515639.92505846,1444584.91735414,587894.268723751,297018.057254765,118106271.898423,9409157.60100749,3885267.04998902,1185951.11264354,12809302.4413335,9047075.69722792,10419477.8280359,128091.58807817,3298265.01481898,118267668.252292,110986054.712461,67145458.6013538,1863853.05096929,1356944.02624787,1492647.31900172,1289278.82504253,11784749.4591966,187000.852402593,32568682.0312585,451999.169318189,209689.163294885
CTRL91 (F342),CTRL,325356.701478198,2348860.80817033,1414950.14441473,791915.965740464,482768.225771335,4513247.4281912,2464383.86593414,5061841.86708802,4917526.77258312,648828.143362785,446892.866105865,817948.482636711,290865.725942171,1524103.25975257,12981268.9734682,327769.711672853,120430.570066226,2881786.54559089,473775.939341407,38020781.914298,385817.893415472,828111.136240189,213033.530808069,2061876.45306797,127661015.938447,46167921.4951041,20649652.4058823,1441365.97033323,295898.334841974,541959.265144293,1523686.76901244,96979862.4760377,6782351.85136953,3616943.97000908,897366.896977399,10861732.2114626,6576007.56438428,3942899.16717689,85351.0023438063,3294990.16311231,60101049.4855097,86249697.1609585,18148553.0248746,1082513.75383773,1445779.52335863,676838.60124749,59217.43386532,5962248.21736522,86209.3309709075,24161958.1516497,1116143.80737808,130827.508273281
CTRL92 (F343),CTRL,821744.26769925,4638654.38404622,3386489.37374867,524735.794580642,606032.284719332,18013201.4456161,1861014.98317194,13761427.4215847,2396034.71103295,433536.655726834,712875.102462709,918666.590293831,420257.340524529,384827.880198651,23889747.7034853,346179.540148523,801758.791166648,736549.533540952,962997.725353364,29538725.0845774,893924.917452876,4704285.10153117,79399.366343598,2624138.17794689,170310946.31937,50827436.9443497,26898565.4670105,2809965.0502883,2768611.29092634,936820.210945911,381444.925235384,62968864.0225452,10309992.9372787,2769285.16156525,6472379.5578899,12329614.4144809,5259637.05535764,25523737.6435798,191559.599725695,4802818.62622255,150761688.650455,138566347.161868,159497365.386588,2574257.05866402,1587344.27473435,672395.065773674,167644.154778389,9618065.74253743,257598.491569653,34280467.3618058,1273174.52905729,344775.898625756
CTRL93_00 (F344),CTRL,912623.853813563,3098998.42214951,1111748.90675693,659465.807529059,800865.220230386,7439878.27374877,1559758.615527,13081960.5287258,1934410.53218642,623149.138128716,646484.011440467,976128.239012467,422027.647238787,509260.584959128,17924634.0261864,315874.562489111,172767.552292294,2744775.91370062,454683.783413702,40483317.7275748,677734.566358838,645337.303849764,194349.209764665,1864353.1747936,149758399.912331,56754752.5788862,26609735.9660206,1793545.29389442,2033006.06346401,669191.665920574,1692177.13527928,106719637.605081,7632623.36518778,3492530.99955029,697305.642978274,11995305.2541298,6446629.09728405,14420454.1495843,74471.1211819643,5467064.36407386,122340638.561921,118608133.541531,83614637.8070002,911755.69203987,1865918.97390232,730548.68435371,706333.560460468,11504283.2353482,151436.867473763,32847088.4159588,937433.976430037,124072.68662629
CTRL94 (F346),CTRL,163389.994612769,6660063.32516977,1756334.51801221,708018.257777284,866291.636592477,6913678.14053719,1139051.47479625,7409674.24380425,2996638.04741476,600314.726893626,653311.921704975,812240.330502133,309143.517105394,634214.12822057,13701276.5159601,289276.541291389,260506.939238695,1360139.99156843,717749.673351308,35411130.9605721,600277.44772048,1071284.95777446,266860.14119371,1745329.19963436,174528334.761607,58579765.5384903,36254180.8005213,1847258.08482633,1667193.18261889,415414.26820712,1418345.45020847,103805455.880416,7742769.02797082,3115823.39276793,377564.057957591,17764247.35904,5468336.54457305,10970958.5165424,269699.885113871,2137196.19779043,122336570.847223,118315347.851142,85160434.749208,560503.733046473,1638079.86678622,856979.018564806,429578.084188645,24257797.4874572,116083.764725993,31740060.9890837,945755.559483124,341690.855311899
CTRL95_00 (F347),CTRL,754231.37196564,1128058.37306841,1969612.5216894,695540.993457935,457027.129400342,9584103.99750329,1063831.20830582,6958109.49262974,2912042.85124684,705402.567869906,354764.389501055,772778.089311523,358257.278990325,624671.582197361,12040083.5205174,457569.001988488,268978.748888716,1397543.78392036,436754.12021459,45794717.3502037,658454.681897057,1170470.57573564,125822.347151948,2261465.67400401,145819079.778165,52598971.396874,21682936.9360043,1464811.69489772,1389582.622658,566406.03591541,378682.43822649,102179313.264138,10790489.5019599,4308921.39996555,800170.33097744,18468397.4199573,7678392.04649027,3903879.07014796,77746.5473964001,3498971.99115615,67738116.1644079,76624891.8534783,19175130.8258171,1004008.52468448,1489307.38606622,532307.010371461,124740.193688623,12218386.4420606,70204.6401796794,22219610.0290335,1655849.85780006,256060.03249564
CTRL96 (F349),CTRL,1322781.47944177,6655518.39584181,1118676.3148825,845814.893168137,1038605.12813393,20377502.7706414,1440759.13926308,12528930.1567719,2686441.52477447,349286.081670062,896522.552845085,1155789.30402628,569280.139765202,536109.52304611,29519668.6073014,528232.489162806,457837.907001375,1914948.23047098,970247.905617772,47007301.7352482,671246.428723754,719995.595973294,299350.051995474,2509029.42384598,199884275.650097,46224110.3182024,25999645.9085512,8666567.37608586,16308432.212421,1938534.58926894,539074.24987369,131721932.081485,7923387.50582511,4720960.68147259,107021.219422079,11814107.0219852,7663231.4189205,12636711.2276394,167165.204396788,1685227.27563563,115868234.103362,107734772.765351,97117736.3854028,1720151.89101737,2242008.19797696,8798696.53122419,1045214.15197472,13171037.5224723,155454.741498912,38291154.5465998,1405221.8155524,448240.133440114
CTRL97 (F350),CTRL,42317.907053772,2792003.26105496,1130198.41298849,370382.344874909,822238.752362938,10350347.2240023,1089605.36621164,23509252.4938077,6191996.84770703,473186.187637994,508403.57487326,902834.180763618,356908.269285696,1076319.99612454,11202188.5694271,616277.989302242,390740.541137894,1481708.9692597,476707.067149897,61805010.9125507,442004.141995314,899629.109522718,105818.293175088,2199771.14907736,232256652.80266,61314077.6435133,30348910.2658282,1519244.76323574,627076.083530761,482656.811305618,1143778.6352593,123954738.384006,9629930.00995268,4632045.84537445,276741.426487028,13710338.1600531,8829701.58944455,6229855.11138928,92228.8144780591,4123965.44073121,89751959.3960322,86900174.2710905,21112897.4972135,397670.141194643,1457565.00911022,474714.373185077,59202.7796321002,8905920.73440745,203793.906796403,26429440.1906263,502542.979802649,170224.702478762
CTRL98 (F351),CTRL,150117.917263822,2510295.07692456,1146953.94452987,420735.796250821,562123.946681215,6526661.0068679,1943715.2951433,10923249.447153,1562232.38994343,418581.382602847,448566.063486526,815109.975532542,319671.588035563,485621.242982726,11689545.7924559,430829.646932016,698467.01697402,1091992.89808518,458512.118800745,46789281.1051897,504887.538336556,501797.716629593,188608.799236224,1541676.91408231,200240747.813421,42957728.0900476,21273734.9073561,2372597.72321344,944856.739424964,220666.229406554,172038.366208916,110402530.921465,7828604.73390712,3906333.24465377,466883.76812752,11023548.7671392,7525391.24822946,3448812.90891533,227929.499070532,4078997.55183907,70159761.0902308,81692531.9446472,20147163.6483433,223540.652555422,1452054.07171365,929457.656651186,421696.818290071,8539816.62560292,73077.2455598242,24071272.734451,802245.34354704,203553.855155272
CTRL99 (F352),CTRL,237679.449842126,4121041.62285044,1641226.22746676,393976.703344023,711136.699257439,9407780.99380448,1806518.92994789,11414727.0971339,4629972.20026246,511617.785884711,640333.954095878,1110686.98528523,387509.969110852,885535.771484503,11757730.3960279,509233.725838977,268604.141363743,1328293.20133583,640897.528029006,46168419.9716741,915796.410355914,1670378.29746323,121633.8345815,3260260.85563951,169497453.692547,49171327.4940355,26022330.1497183,4331401.70076008,12423352.1420126,213519.04703182,262017.154371325,156150531.273555,10172592.2204689,3722382.70039954,576092.153338262,15558354.396747,7688491.85373015,5785572.02697865,154914.338684726,5285903.16612972,93875126.7057727,89700552.3553295,35400891.2440619,719532.942088043,2340942.79353405,3991105.18348637,661167.648085681,11862465.5208458,166612.994481948,32936434.6571116,861269.65792191,279053.448740423
CTRL100_00 (F353),CTRL,17344.0753134266,3090157.8689505,2171216.6097389,577286.001744643,903487.242322627,4702401.73318634,2384367.27700298,14953056.1746993,2378221.84864591,349618.055560227,532510.791903993,903365.750799299,392016.249989223,397427.213576989,24341911.5517201,339032.188972598,282433.98684985,1607972.4999908,564047.171694213,38366568.4435878,452778.200361841,792423.702616846,259015.207281386,1571541.66057771,137972685.227918,42454656.8430799,31068398.2877781,3490871.1382501,3406271.70919733,595839.523977471,1660085.74780406,126716932.198177,10004703.3182954,3339729.87932908,264607.113635782,12091500.2907066,6182083.13041978,21691419.6266902,121378.763163789,2049390.63079172,139873357.086162,117576554.108544,155511951.458403,359255.857676489,1522600.00681042,2410051.19724503,519801.64838038,20439749.5290681,125787.427779193,26542525.487117,929163.707991866,389138.307146856
P01_00 (F368),CHD,275988.811641443,1357112.53202687,833089.809485983,290380.370868334,1079175.70290419,12200477.9116682,887511.633589304,7056673.14319227,525546.253927863,307542.896516562,656926.085198915,135576.547291087,83760.837897295,176450.177117272,1895280.20649014,82881.5757380061,216469.966445676,1484508.40707821,205655.21238741,35334215.4232747,446688.239032529,626615.025204379,221113.284618721,1124453.35754391,156214427.265401,30629216.8098802,12678144.0274324,1619061.69827853,903378.279672181,395204.466123163,285994.147719351,40409211.5477449,4861916.94146104,2777128.88640506,933893.283855075,14910609.1250071,6091429.53944698,891831.301529665,81399.1063772548,6440943.48189896,31333803.2415501,41188768.0240579,1912104.05804921,136649.656342166,1320193.51989741,601635.164659825,87009.875361901,4513121.07689446,72923.1633737227,29714129.5781135,1244236.34853373,344646.520869358
P02_00 (F370),CHD,113824.038640405,1606440.67159895,575670.244284294,539125.603331417,1261070.05613241,13063443.8213558,845117.409553903,9114822.9799223,2054862.45499622,226098.379339826,537470.712645277,90568.1731416805,76739.7487668954,542295.45451114,3558064.84966243,96607.2160141316,240454.970979982,936968.298817357,373615.516113788,30483156.8366228,310256.338939706,232444.597886114,151941.552689179,1192165.47915451,315444593.046155,29879567.9243537,16824378.2943372,745817.98321464,351346.029042505,343135.775626118,313116.359198878,49051146.198793,4298263.6436423,3146426.62823035,887973.589291846,7887288.47522488,6206815.7939884,965220.46347383,24941.4714222438,2576059.81262047,36619893.2044539,47148136.5598005,3028927.11164845,449284.846652475,1458678.58060629,239103.441806515,25782.4347997144,8583551.96116513,86256.6950107003,31547297.7794569,763499.244521587,497580.32155636
P03_00 (F371),CHD,210922.822028664,1941013.14044671,1016254.87131826,235235.589904389,2355910.55680463,5183373.05339568,1047142.06599992,10432253.7135489,339810.28605348,352341.438966086,993534.403383654,207098.366350711,158956.950034255,55016.6117631823,3398564.3967278,114035.472572173,560635.109336638,961877.578754066,456066.863433425,34626036.9597606,600338.242689216,10307.1375635667,569935.940574305,1473275.21557814,131644229.599436,40796731.437187,35585686.5988835,2285611.64153839,6939953.55257835,570716.57851559,660401.277237064,67156111.0605258,9112002.93697561,4823234.64583847,59144.3410529471,17172049.5597806,6579397.12181543,2009540.73308254,137962.01286229,3771992.37046095,50414968.0559796,45016465.1235908,7415057.97854522,21600.0165653132,2337341.44601548,7137446.22532568,108646.239524463,1472040.64408154,176687.755861412,45682096.0757411,1670842.32465309,350446.745204061
P04_00 (F372),CHD,22163.8422916164,1441549.33309519,1304355.18409393,701023.057556107,1627227.4575751,9782504.80828636,346988.450867786,36058203.193066,10514715.1646725,311226.960016618,810819.096628292,650278.04382804,256237.316722353,1699086.1840651,27100420.808578,127081.644975801,214840.291534181,832743.535019033,451434.423537336,35070464.1202168,329010.995255553,1495686.80874882,69878.6217306139,1193575.50416078,129906253.738486,47569442.7630961,27494263.7090317,212942.119087904,215807.484764619,385488.830493889,1569072.35805892,12606453.9818715,7225677.69528609,3141563.57523072,2482874.11833849,15135365.8238647,6414605.46389004,46158087.4520717,80556.0535318783,2597053.17624065,132948545.053899,87746297.6978129,134205023.321683,2721127.40329634,2002669.74124553,124645.212117338,21965.4711320813,8804371.10885176,167806.984337574,38978680.1598109,806841.065892321,475303.918118194
P05_00 (F374),CHD,445400.016006437,3065230.04280371,1600973.18142555,689766.164511036,2616906.84972431,5347903.15618873,1185725.80694244,12079560.2260802,3068521.49738559,346157.044959308,767101.486120074,465461.318484609,227964.215831322,814380.54788154,9124807.85754338,189214.322653271,139984.644284083,1308444.08326255,346996.636308332,43144205.7568789,776408.980039095,1053518.38941055,166148.01573512,1028111.27186128,168598913.809316,48419314.2702978,34542700.1760523,4298480.9214834,1918517.91999822,400227.864391364,1350038.38533515,17577701.4407775,4950465.72403717,3713567.75125575,2902972.35934705,19645312.2371762,8616532.32635779,6587060.88063206,141403.078411228,1999148.67873224,84687495.2348577,70392924.4377918,27187086.5853357,234398.761182216,1945538.28935582,1171184.46562691,62961.8381412596,11789706.5965837,144214.167207563,35197055.8552529,692907.261702178,150467.387384875
P06_00 (F375),CHD,86269.3230123555,3613449.06640189,805686.797745083,643897.157215288,1592701.33559866,6551811.11939207,833881.008953203,11352090.5356905,3509543.58173036,375863.493195959,705513.484276382,801851.128962973,335595.56195211,893471.942115476,15503063.7880285,156383.578485862,175232.227625916,967423.595666107,489210.380377663,31699130.9861011,331458.470466027,2009216.17795891,389760.163053343,938754.853128847,173526140.239168,53528857.6786736,31918120.9487193,5052605.46000188,3019434.70670382,315948.962000427,1382780.86333086,13136297.6871375,6562327.98371441,4059908.59424501,2822628.96176525,20214016.9586212,6053144.11922454,13756115.0189053,106845.715365651,1278972.54012745,97565896.4585202,78228481.8163799,83977644.3819804,1207389.80536813,1898946.30616153,704753.252080202,210614.342845778,10576772.869363,236041.816074477,34117423.9233135,583018.4908979,364894.459729233
P07_00 (F376),CHD,147641.805380174,1375982.47956925,541515.262887285,306060.333186783,1666609.35224833,2823796.18784343,1244368.14866615,11176407.0478293,1745170.9977868,117526.751216947,624520.284673529,532541.783372052,261499.266313955,277594.432997012,6799565.90204819,169914.807167638,172144.835939598,921497.444417703,364776.028026454,45304367.1660625,372235.466175353,566594.023611928,40235.5871709475,970650.964346044,220911715.326823,37744323.7724838,25784446.5616059,2063464.78497726,1533121.03612607,349941.238024591,868927.763776796,30884865.494374,5829155.08212131,4119711.621469,863993.28609484,12251472.8155285,8891323.95323526,5260695.50310087,167433.202437048,1645478.66545445,80976779.6675601,61624114.6275776,27380417.8585522,5362889.57773855,1295405.15857079,1659718.56753087,29436.4626057601,2909599.4613061,44076.5053257849,28369724.1477622,1004245.39619178,354706.269029882
P08_00 (F377),CHD,792018.762973872,4058701.93793426,1326296.34638761,589327.551625801,1218676.86532083,281164.461695225,1275994.82612755,11219660.6425656,529620.429269916,109839.035619768,537807.996165755,628284.041452163,264780.441047098,92624.6381141981,9092903.88227814,119822.787232317,705757.003813657,1347597.27238374,263079.750760378,31313025.2142301,642224.054377714,50120.5150789741,58677.4400480024,682493.201133045,139351472.83019,25243157.8573148,18103769.9354136,4811034.75823919,4687479.83022902,2971005.05601271,799162.409241528,30833443.7025282,3295695.27546107,3322650.59194134,2221542.62989566,12807080.7206067,6112501.57115958,10928191.6262266,121539.012918989,294989.798683401,102683923.746489,71972651.0735458,79147090.2533865,366273.376515322,1669774.83251995,798840.13741628,18616.2130922075,4304941.18078293,36439.3368170536,26964645.9729933,395709.972786617,158088.312398397
P09_00 (F378),CHD,189325.569088763,2371309.17713653,1026502.40086929,590058.426119132,1964090.62848546,4267695.96606324,1294902.86955334,8380166.95684349,3407737.76828637,226511.164124358,524325.63769606,449532.167490711,219140.301279841,477982.983767535,5274011.71580984,172305.371106968,162617.045765074,963986.748178508,476110.305491681,40285965.7096519,387914.569006338,1153548.20631466,128942.719447507,810220.654579627,178293363.946078,45152613.8715469,32768584.9172805,2487698.81941165,2024076.69891058,295571.89519061,1332760.39155608,62711838.6462772,5183774.89510877,3780424.23507222,2264666.95840056,14959723.7872,8350827.34285174,3164972.66929488,131240.821479614,2008020.16305526,72883081.9354098,72845138.5200244,17614237.2406031,691878.823235748,1446690.82521442,549987.640821692,66009.4324368928,7264477.32949918,65883.1928048306,26018498.8469831,486663.387417789,495750.697266165
P10 (F379),CHD,66576.4042726637,5184669.19998662,480868.252522421,620401.741287084,962460.326319189,11777360.69775,1364234.92730988,24285239.3120695,2231755.467007,240661.683975459,1126939.79071989,864815.256193111,405828.239387737,472312.347683071,17475605.6326669,127332.206838197,923885.476509913,1579744.83196554,717357.709980822,26506342.074205,510854.242779476,427659.998120405,56551.4249395079,2180081.96475943,215524036.631422,53919583.1275732,29711931.69975,1052217.48539299,1098580.45284142,341730.050391526,2056761.55266775,19500426.9545119,5997617.34517351,3194239.97545411,1800879.16752739,16824320.5585321,5111366.71635559,30278770.7441828,168713.320708737,3571138.58966227,119885292.005906,94607457.7173552,141074248.144123,4492197.78055694,2578604.06209547,793769.662421119,397895.172795034,8763870.85618388,155436.246098026,49214177.013879,781605.201021077,528345.037312615
P11 (F380),CHD,34254.3352407736,1047668.9271,473894.848381458,360894.326926789,1245535.75305905,4895077.2849081,834358.125245807,12304254.9933438,809627.458478809,246788.847658951,371349.511630025,422476.744473414,173977.283617772,269314.909074136,8589488.35836099,140236.269584232,143317.636601257,1028266.99398492,282364.63771608,32702977.270633,365556.914924761,614223.145041091,93023.6147055548,516353.157961354,161877998.457585,31066512.188203,16468803.4939996,1336776.290232,886321.506704948,469531.836508685,921825.122119657,26437266.6490391,6006887.9756801,3329143.31396993,2308663.89339899,12023239.4879283,6879849.25270264,4498716.89961483,137864.537404808,1693967.31429089,93726794.0000629,77082923.6333827,28775010.7256471,518657.854685738,1084577.70383888,1282305.17617655,263392.663958681,2833074.70780562,78005.3651016718,19709774.1668966,780177.05684449,182434.503860856
P12 (F381),CHD,93692.7518150428,403235.983716561,448878.392506502,20483.9584352235,1025271.24593494,3044432.25820361,937665.290276652,9957761.25347837,1313540.03899775,67215.1056254248,502786.643209068,326281.176502825,194583.613431891,194318.89207639,5651166.58262772,73748.74939573,85769.0919002189,477017.657658945,122811.428740853,22719915.9994751,258942.069077127,94108.295495036,74613.5807302564,412511.158051027,121562846.65215,18485601.6910327,13490274.8995474,3358308.56882781,3220279.37436156,318230.084543661,502627.35491598,30503837.0177891,4923088.40461475,3204017.99863204,970062.074263005,7164780.06452151,4117480.61672689,6457403.37382093,153774.054255615,1000664.47810753,92359082.1643212,78599140.7189006,38642320.4799853,409966.877286088,872104.288649058,517499.492794528,19569.9502817052,1639327.17307522,31484.9193009767,23619445.4658143,2055372.84718335,20766.9666849593
P13 (F382),CHD,310448.974948645,3463467.53895518,1180259.53611503,458262.385338701,1405386.22140586,3631645.52599524,1354329.64808142,11572007.46206,4672536.53442236,167889.925439274,565002.648242399,445958.803250279,179872.750059457,998005.905667724,9861735.30365273,159168.264062835,342083.479835476,854568.348990397,221256.416394748,33780345.7153547,276848.110780436,1777299.18108183,161163.096006438,852291.653689804,194994068.804928,41019293.1592213,17653239.5737619,3042486.05292821,874115.086780641,498438.151663635,2317272.66548067,16076591.7143079,6725111.77775238,3122552.58854734,867788.838505406,11343372.2376887,6279302.12410994,15001188.1816282,135235.310251578,685172.731406491,90634767.8885707,64875615.2434212,73183501.5421347,389877.921190063,1176901.81834571,521433.779481256,30451.9450814577,36203487.9310914,52315.1736109247,28113283.1899665,1206440.16131347,131818.445195528
P14 (F383),CHD,193638.884330814,1661825.45859618,727741.172840919,420713.348398735,1410410.83541554,4566066.35181859,1034234.38667153,4485674.38814788,900715.162718612,205407.588827389,487486.675426121,513596.702372009,242250.74199651,203927.412876726,3448441.66939447,114552.26468785,158099.422469914,1384646.82283044,83478.8823363109,26489097.8845378,295526.133600533,108079.044459092,99443.9496532763,597459.38967455,128385700.147784,34283495.1223944,17162765.5189375,2625114.08579623,2016889.63733235,157717.309429768,830233.763523624,20673159.4113265,4987442.79028131,3102494.5349301,1377230.95452157,13447135.3378259,6010702.51374694,6201587.57827398,169349.129789523,3368820.12954363,54731492.6039082,52815080.1154401,21326638.8058928,356147.87084438,1523901.13032696,1300143.63463992,156495.604013379,3432525.11121166,35427.3551615904,24134014.736113,854533.919458331,110741.287644748
P15 (F384),CHD,147589.324190898,407098.855855138,688153.325153322,36788.5999288226,964889.587228422,3435956.87457871,988419.955720564,6076259.23462738,1107015.38476633,60184.8627542252,369466.780940603,354337.543325754,179095.720589284,175363.265816927,2960228.19424097,82444.8559451077,75829.2615026948,879900.053179454,163788.898233379,20273445.7024132,366458.58768311,395101.578873019,107849.022306518,477589.264383121,132918469.184434,17723768.439248,14161730.1653239,963597.231666481,410008.078336445,180153.67915562,2473858.42973502,24621093.5673378,4548992.48789135,3507644.51879129,840245.000327644,8066933.41059151,3950155.6175627,2562888.95726741,108694.055909583,1566926.79185292,57618414.8103673,53357872.2565781,11557193.9172247,215464.495517699,883406.733623649,273019.682163188,72211.7534922038,3757224.51623282,29819.2698432142,19861176.7837005,962410.146261866,56146.1182979587
P16 (F385),CHD,78049.030789224,452708.892207251,168247.978469325,192641.487156994,844089.579970143,3265261.79266924,828584.620826202,5313593.42288397,1027144.66217769,84935.0980241881,215029.867940885,292731.304554808,101549.079266697,289303.135805187,2588846.34190435,58850.7217843836,44542.005315326,603269.375801615,64912.7175896247,13722971.0308972,218241.514986835,665459.392549174,266440.235295161,376256.546278588,267128582.573735,25566066.0150835,10905214.6762338,625267.417938131,186585.844812779,444510.425693549,8398065.56507546,22379497.1516994,3989652.36161452,2970611.83236364,552329.088522499,7964328.91547981,3155747.55361733,2018479.75478346,183419.206758691,2370996.83820986,56595469.805232,57666097.722361,7452782.64482108,218133.84023014,629158.859935516,57061.8715291139,12039.9780038022,3951685.05019522,63450.6149222657,12785213.8602645,960899.222475715,34395.0263281895
P17 (F386),CHD,390389.356838,1953650.28431076,1161894.51176587,261751.60954695,1146881.85431883,2760499.68388396,891313.938500947,6432148.07202705,218861.825979894,96833.7465100814,434629.077977368,427104.317799228,200595.706387414,110444.338383592,3710951.79660835,81075.2443460703,214250.726769955,1141177.66088196,126373.222372053,17385842.1321779,850141.619246299,572112.84579029,130027.49556847,382036.670889144,209006426.027116,16771078.9679328,17719105.9870665,1277858.37411406,758732.414667281,504289.845960065,5210929.30601297,60141467.4342512,5147289.50675077,3127191.75266588,757101.641378774,8350663.9727253,3757465.22289656,6124062.21312481,263924.692598045,2690149.58668693,71911521.8028654,71062538.6875318,17272900.5515449,209494.080194795,967833.43344174,353873.8574892,71804.8328871015,2299403.60506701,31514.5615508668,22417570.7355257,574603.052990602,162510.426409697
